n	tiempo
1	5e-06
501	0.001071
1001	0.001799
1501	0.002756
2001	0.003756
2501	0.005009
3001	0.005517
3501	0.007045
4001	0.009017
4501	0.009323
5001	0.012036
5501	0.014341
6001	0.013799
6501	0.016704
7001	0.018263
7501	0.017602
8001	0.020637
8501	0.021505
9001	0.021868
9501	0.022957
10001	0.026353
10501	0.026563
11001	0.028303
11501	0.030644
12001	0.032433
12501	0.034322
13001	0.0334
13501	0.034874
14001	0.039127
14501	0.038152
15001	0.039254
15501	0.039825
16001	0.040816
16501	0.043077
17001	0.044508
17501	0.045356
18001	0.041692
18501	0.042527
19001	0.044279
19501	0.04592
20001	0.047448
20501	0.062973
21001	0.053276
21501	0.052534
22001	0.052383
22501	0.054108
23001	0.056412
23501	0.05583
24001	0.057168
24501	0.059106
25001	0.060538
25501	0.061963
26001	0.063041
26501	0.064217
27001	0.065084
27501	0.066398
28001	0.068369
28501	0.06846
29001	0.069307
29501	0.071705
30001	0.075877
30501	0.074576
31001	0.074755
31501	0.078541
32001	0.077392
32501	0.077785
33001	0.07907
33501	0.082453
34001	0.084333
34501	0.084745
35001	0.089261
35501	0.088192
36001	0.092134
36501	0.090571
37001	0.092397
37501	0.093078
38001	0.094837
38501	0.097791
39001	0.098103
39501	0.099363
40001	0.101087
40501	0.102016
41001	0.103187
41501	0.106861
42001	0.105748
42501	0.107665
43001	0.110439
43501	0.109218
44001	0.112783
44501	0.115404
45001	0.110645
45501	0.111794
46001	0.116479
46501	0.119466
47001	0.119237
47501	0.123253
48001	0.146373
48501	0.127514
49001	0.122801
49501	0.126111
50001	0.128202
50501	0.143231
51001	0.134336
51501	0.131836
52001	0.13476
52501	0.14641
53001	0.13757
53501	0.135221
54001	0.139963
54501	0.139346
55001	0.142865
55501	0.142862
56001	0.141972
56501	0.142023
57001	0.146147
57501	0.146853
58001	0.150605
58501	0.147485
59001	0.152828
59501	0.15041
60001	0.150814
60501	0.154299
61001	0.162515
61501	0.157044
62001	0.160278
62501	0.160372
63001	0.159174
63501	0.163765
64001	0.167215
64501	0.16689
65001	0.1669
65501	0.167204
66001	0.167095
66501	0.16848
67001	0.175464
67501	0.173985
68001	0.175013
68501	0.178625
69001	0.179546
69501	0.183318
70001	0.186643
70501	0.185039
71001	0.185407
71501	0.192113
72001	0.188124
72501	0.191969
73001	0.192905
73501	0.192799
74001	0.194864
74501	0.195713
75001	0.198551
75501	0.197415
76001	0.197291
76501	0.195866
77001	0.201599
77501	0.204241
78001	0.202217
78501	0.202799
79001	0.206636
79501	0.206887
80001	0.210775
80501	0.214342
81001	0.214914
81501	0.217164
82001	0.218783
82501	0.216726
83001	0.216657
83501	0.21823
84001	0.221804
84501	0.224727
85001	0.229291
85501	0.226801
86001	0.227076
86501	0.230205
87001	0.230921
87501	0.236876
88001	0.235249
88501	0.236652
89001	0.244338
89501	0.23774
90001	0.251242
90501	0.258541
91001	0.260945
91501	0.257509
92001	0.261949
92501	0.250137
93001	0.252394
93501	0.249643
94001	0.251676
94501	0.271631
95001	0.259592
95501	0.259143
96001	0.270443
96501	0.267141
97001	0.282506
97501	0.324335
98001	0.330187
98501	0.315587
99001	0.315556
99501	0.317539
100001	0.313178
100501	0.271826
101001	0.267825
101501	0.270573
102001	0.287142
102501	0.307555
103001	0.311731
103501	0.309974
104001	0.291224
104501	0.27632
105001	0.289527
105501	0.30863
106001	0.327148
106501	0.318784
107001	0.325201
107501	0.32362
108001	0.332706
108501	0.325266
109001	0.314398
109501	0.315544
110001	0.315334
110501	0.314776
111001	0.325505
111501	0.332228
112001	0.323791
112501	0.316079
113001	0.320339
113501	0.321962
114001	0.326979
114501	0.320263
115001	0.334777
115501	0.333702
116001	0.339709
116501	0.331829
117001	0.333475
117501	0.33407
118001	0.330862
118501	0.331828
119001	0.336411
119501	0.339946
120001	0.341042
120501	0.344897
121001	0.339823
121501	0.351514
122001	0.405296
122501	0.36166
123001	0.388094
123501	0.35687
124001	0.349999
124501	0.356779
125001	0.360334
125501	0.359312
126001	0.355797
126501	0.362661
127001	0.366759
127501	0.384404
128001	0.353268
128501	0.365465
129001	0.364497
129501	0.368095
130001	0.372375
130501	0.368514
131001	0.392826
131501	0.377669
132001	0.377326
132501	0.378321
133001	0.383808
133501	0.380341
134001	0.38728
134501	0.382842
135001	0.38968
135501	0.390575
136001	0.388679
136501	0.391006
137001	0.39
137501	0.394375
138001	0.392787
138501	0.392093
139001	0.399369
139501	0.406701
140001	0.406019
140501	0.423301
141001	0.403342
141501	0.425605
142001	0.411237
142501	0.417312
143001	0.41693
143501	0.41637
144001	0.413106
144501	0.414743
145001	0.420197
145501	0.429813
146001	0.429791
146501	0.421372
147001	0.430029
147501	0.436289
148001	0.41666
148501	0.438315
149001	0.425657
149501	0.424077
150001	0.424343
150501	0.429206
151001	0.429731
151501	0.437817
152001	0.431503
152501	0.435056
153001	0.445014
153501	0.439754
154001	0.440845
154501	0.444309
155001	0.440084
155501	0.441596
156001	0.445095
156501	0.446161
157001	0.448545
157501	0.447478
158001	0.455954
158501	0.456433
159001	0.468169
159501	0.464956
160001	0.455805
160501	0.458611
161001	0.46693
161501	0.475382
162001	0.466567
162501	0.464179
163001	0.47889
163501	0.467856
164001	0.471507
164501	0.480482
165001	0.482668
165501	0.475462
