n	tiempo
1	0
501	0.015
1001	0
1501	0
2001	0.016
2501	0
3001	0.016
3501	0
4001	0
4501	0.016
5001	0.006
5501	0.016
6001	0.016
6501	0
7001	0.015
7501	0.016
8001	0.015
8501	0.023
9001	0.015
9501	0.031
10001	0.016
10501	0.016
11001	0.007
11501	0.015
12001	0.031
12501	0.016
13001	0.038
13501	0.015
14001	0.016
14501	0.022
15001	0.032
15501	0.031
16001	0.038
16501	0.031
17001	0.031
17501	0.038
18001	0.047
18501	0.031
19001	0.038
19501	0.032
20001	0.037
20501	0.031
21001	0.038
21501	0.047
22001	0.053
22501	0.047
23001	0.047
23501	0.047
24001	0.047
24501	0.047
25001	0.053
25501	0.047
26001	0.038
26501	0.047
27001	0.053
27501	0.047
28001	0.069
28501	0.053
29001	0.063
29501	0.069
30001	0.062
30501	0.062
31001	0.053
31501	0.063
32001	0.063
32501	0.069
33001	0.069
33501	0.063
34001	0.069
34501	0.054
35001	0.069
35501	0.079
36001	0.084
36501	0.069
37001	0.069
37501	0.07
38001	0.078
38501	0.069
39001	0.069
39501	0.069
40001	0.085
40501	0.085
41001	0.084
41501	0.085
42001	0.093
42501	0.078
43001	0.084
43501	0.085
44001	0.1
44501	0.084
45001	0.1
45501	0.101
46001	0.1
46501	0.085
47001	0.084
47501	0.1
48001	0.1
48501	0.084
49001	0.1
49501	0.1
