n,n^2,PC,SPC
2,0,0,0
102,0,5.3179e+006,7.00454e+006
202,1.59494e+006,2.26042e+007,2.20957e+007
302,969175,5.16362e+007,5.20013e+007
402,6.79667e+006,9.6217e+007,9.71997e+007
502,6.25902e+006,1.5495e+008,1.54851e+008
602,2.09583e+007,2.32842e+008,2.33829e+008
702,1.40841e+007,3.18442e+008,3.19914e+008
802,3.58994e+007,4.24703e+008,4.24305e+008
902,3.27752e+007,7.67255e+008,7.39218e+008
1002,5.57381e+007,7.26771e+008,7.37157e+008
1102,4.69119e+007,8.37036e+008,8.42775e+008
1202,1.26114e+008,1.26897e+009,1.27038e+009
1302,1.49369e+008,1.5109e+009,1.5154e+009
1402,1.25374e+008,1.79564e+009,1.79238e+009
