n,time
2,1.48e-06
52,0.00081068
102,0.00365618
152,0.00866808
202,0.0167119
252,0.0240786
302,0.0433007
352,0.0869742
402,0.155502
452,0.106569
502,0.121446
552,0.133234
602,0.160104
652,0.182855
702,0.211899
752,0.227629
802,0.288544
852,0.323283
902,0.347455
952,0.39303
1002,0.439396
1052,0.463702
1102,0.534071
1152,0.606792
1202,0.649392
1252,0.706588
1302,0.768629
1352,0.818751
1402,0.897084
1452,0.962544
1502,0.993457
1552,1.08107
1602,1.2277
1652,1.30614
1702,1.6258
1752,1.76829
1802,2.15997
1852,1.79312
1902,1.9073
1952,1.94726
