n,time
2,1.06e-06
52,0.00198344
102,0.0047251
152,0.0143189
202,0.0284763
252,0.0343263
302,0.0450058
352,0.063721
402,0.202662
452,0.10295
502,0.11643
552,0.134481
602,0.1645
652,0.194776
702,0.221902
752,0.24822
802,0.299917
852,0.347174
902,0.388285
952,0.428917
1002,0.477951
1052,0.514053
1102,0.583708
1152,0.657442
1202,0.719249
1252,0.781163
1302,0.848533
1352,0.905843
1402,0.977931
1452,1.05207
1502,1.08855
1552,1.18834
1602,1.32674
1652,1.41505
1702,1.52277
1752,1.59294
1802,1.68431
1852,1.79204
1902,1.88302
1952,1.98462
