n,n^2,PC,SPC
2,0,111230,0
102,915065,201545,200170
202,1.79226e+006,1.39748e+006,801825
302,3.39153e+006,2.59264e+006,2.59624e+006
402,6.1884e+006,3.99564e+006,3.29664e+006
502,1.07017e+007,6.90616e+006,4.80146e+006
602,1.5818e+007,9.6995e+006,7.53256e+006
702,1.37077e+007,1.17809e+007,9.9183e+006
802,2.93394e+007,1.71245e+007,1.33287e+007
902,3.63859e+007,2.11269e+007,1.67947e+007
1002,4.51036e+007,2.63002e+007,2.00721e+007
1102,6.64637e+007,3.3425e+007,2.44234e+007
1202,6.43036e+007,3.7086e+007,2.82953e+007
1302,2.97645e+007,3.74772e+007,3.3837e+007
1402,6.68534e+007,4.74795e+007,3.90316e+007
1502,9.18092e+007,5.70439e+007,4.52586e+007
1602,1.0262e+008,6.58011e+007,5.16637e+007
1702,8.96347e+007,6.93184e+007,5.78813e+007
1802,5.48114e+007,7.05209e+007,6.41983e+007
1902,1.97926e+008,1.00101e+008,7.21204e+007
