n,n^2,PC,SPC
2,0,0,0
102,1.79796e+006,6.39098e+006,6.78884e+006
202,3.19804e+006,2.59699e+007,2.7374e+007
302,4.29895e+006,5.56482e+007,5.54573e+007
402,7.29784e+006,9.96383e+007,9.91423e+007
502,5.00011e+006,1.56061e+008,1.56664e+008
602,1.61067e+007,2.32669e+008,2.33393e+008
702,1.65715e+007,3.20908e+008,3.24087e+008
802,2.50231e+007,4.29236e+008,4.28484e+008
902,4.50019e+007,5.51442e+008,5.62723e+008
1002,1.97098e+007,6.82397e+008,6.81498e+008
1102,5.16166e+007,8.37663e+008,8.59074e+008
1202,3.3241e+007,1.01273e+009,1.01066e+009
1302,2.98156e+007,1.19423e+009,1.20147e+009
1402,1.0284e+008,1.40892e+009,1.4307e+009
1502,1.02211e+008,1.62576e+009,1.65091e+009
1602,1.35515e+008,1.88238e+009,1.89781e+009
1702,1.19019e+008,2.13463e+009,2.13178e+009
1802,9.87811e+007,2.38763e+009,2.39531e+009
1902,6.78431e+007,2.67598e+009,2.67189e+009
