n,denso_time_logn,ralo_time_logn,denso_time_cuadratico,ralo_time_cuadratico
2,2.1648e-06,2.3408e-06,1.422e-06,1.7234e-06
502,0.00441367,6.5686e-06,0.0144815,0.00991805
1002,0.0151135,3.53334e-05,0.0548902,0.0397025
1502,0.0331208,2.83172e-05,0.120188,0.0865971
2002,0.0576837,2.2067e-05,0.21345,0.152555
2502,0.0872744,2.58524e-05,0.324072,0.266873
3002,0.127664,2.48148e-05,0.472056,0.339056
3502,0.167055,2.6352e-05,0.63925,0.456614
4002,0.210656,1.8356e-05,0.817435,0.573779
4502,0.277048,2.86178e-05,1.01968,0.737027
5002,0.332634,2.59348e-05,1.29045,0.905111
5502,0.412644,2.61374e-05,1.55877,1.13218
6002,0.476321,3.4448e-05,1.79498,1.30495
6502,0.580988,3.97496e-05,2.16311,1.62295
7002,0.651202,6.5385e-05,2.50362,1.8131
7502,0.771824,7.36044e-05,2.92088,2.20272
8002,0.836824,4.2425e-05,3.17404,2.31066
8502,0.956428,3.41674e-05,3.62616,2.60989
9002,1.09188,3.45114e-05,4.11478,2.96884
9502,1.25357,4.2774e-05,4.77594,3.34351
