n,denso_time_logn,ralo_time_logn,denso_time_cuadratico,ralo_time_cuadratico
2,0,0,0,0
502,0.0040352,0,0.0131906,0.00874172
1002,0.0173597,0,0.0517451,0.0348327
1502,0.0369966,0,0.122933,0.0860231
2002,0.0676086,0,0.216936,0.145043
2502,0.108054,0,0.327694,0.237406
3002,0.176364,0,0.530887,0.333422
3502,0.3781,0.00019946,1.60663,0.973777
4002,0.289092,0,0.944065,0.661902
4502,0.320893,0,1.055,0.708374
5002,0.392626,0,1.30149,0.896168
5502,0.49136,0,1.5627,1.06049
6002,0.575523,0,1.89217,1.29686
6502,0.670466
